pk_id,name,sound_path,fk_complexity,fk_pos,word_origin,word_meaning,word_usage,image_path,fk_game_type_id,status,created_by,created_on,updated_by,updated_on,pronunciation,
848,Object,SoundFiles/848.mp4,1,1,Latin,Something material that may be perceived by the senses.,The boat seemed to bump against some solid object.,,0,2,0,2013-10-20 21:59:46,0,NULL,"’ób,jekt",
849,Objection,SoundFiles/849.mp4,1,1,Latin,The act of expressing earnest opposition or protest,I would like to put forward several objections to this proposal.,,0,2,0,2013-10-20 21:59:46,0,NULL,ub’jek-shun,
850,Observance,SoundFiles/850.mp4,1,1,French,"A customary practice, rite, or ceremony",The markets will be closed in observance of Easter and Passover,,0,2,0,2013-10-20 21:59:46,0,NULL,ub’zur-vun(t)s,
851,Observe,SoundFiles/851.mp4,1,3,Latin,To conform one’s action or practice to,Similar trends may be observed in most modern societies,,0,2,0,2013-10-20 21:59:46,0,NULL,ub’zurv,
852,Occasion,SoundFiles/852.mp4,1,1,Latin,A state of affairs that provides a ground or reason,On one occasion we had to walk all the way home.,,0,2,0,2013-10-20 21:59:46,0,NULL,u’key-zhun,
853,Occupation,SoundFiles/853.mp4,1,1,Latin,An activity in which one engages,it was needed only on special occasions,,0,2,0,2013-10-20 21:59:46,0,NULL,ok-u-pey-shun,
854,Officer,SoundFiles/854.mp4,1,1,Latin,One charged with police duties,an officer is responsible for the lives of his men,,0,2,0,2013-10-20 21:59:46,0,NULL,ó-fi-su(r),
855,Once,SoundFiles/855.mp4,1,1,Middle English,One time and no more,once I ran into her,,0,2,0,2013-10-20 21:59:46,0,NULL,wún(t)s,
856,Onion,SoundFiles/856.mp4,1,1,Latin,A widely cultivated Asian herb,Certain people dont like onions,,0,2,0,2013-10-20 21:59:46,0,NULL,ún-yun,
857,Opening,SoundFiles/857.mp4,1,1,Old English,To move (as a door) from a closed position,there was a small opening between the trees,,0,2,0,2013-10-20 21:59:46,0,NULL,ow-pu-ning,
858,Operation,SoundFiles/858.mp4,1,1,Latin,Performance of a practical work or of something involving the practical application.,that rule is no longer in operation,,0,2,0,2013-10-20 21:59:46,0,NULL,ó-pu’rey-shun,
859,Oppose,SoundFiles/859.mp4,1,3,French,"To place over against something so as to provide resistance,counterbalance, or contrast",We oppose the ban on abortion,,0,2,0,2013-10-20 21:59:46,0,NULL,u’powz,
860,Ordinary,SoundFiles/860.mp4,1,5,Latin,Of a kind to be expected in the normal order of events,ordinary everyday objects,,0,2,0,2013-10-20 21:59:46,0,NULL,or-di-n(u-)ree,
861,Original,SoundFiles/861.mp4,1,1,Latin,"That from which a copy, reproduction, or translation is made","his work is based on only original, not secondary, sources",,0,2,0,2013-10-20 21:59:46,0,NULL,u’ri-j(u-)n(u-)l,
862,Ornament,SoundFiles/862.mp4,1,1,Latin,Something that lends grace or beauty,stars ornamented the Christmas tree,,0,2,0,2013-10-20 21:59:46,0,NULL,or-nu-munt,
863,Ostrich,SoundFiles/863.mp4,1,1,Latin,A swift-footed 2-toed flightless bird,Ostrich's eye is bigger than its brain,,0,2,0,2013-10-20 21:59:46,0,NULL,ós-trich,
864,Oven,SoundFiles/864.mp4,1,1,Middle English,"A chamber used for baking, heating, or drying",put it in the oven,,0,2,0,2013-10-20 21:59:46,0,NULL,ú-vun,
865,Oxen,SoundFiles/865.mp4,1,1,Middle English,A domestic bovine mammal,For the soufflé : pre-heat the oven to 180c,,0,2,0,2013-10-20 21:59:46,0,NULL,ók-sun,
866,Pace,SoundFiles/866.mp4,1,1,Latin,Rate of movement,he lived at a fast pace,,0,2,0,2013-10-20 21:59:46,0,NULL,peys,
867,Package,SoundFiles/867.mp4,1,1,German,A small or moderate-sized pack,"package the gift, please",,0,2,0,2013-10-20 21:59:46,0,NULL,pa-kij,
868,Pantry,SoundFiles/868.mp4,1,1,Latin,A room or closet used for storage (as of provisions) or from which food is brought to the table,keep food for a week in the pantry,,0,2,0,2013-10-20 21:59:46,0,NULL,pan-tree,
869,Paper,SoundFiles/869.mp4,1,1,Greek,A felted sheet of usually vegetable fibres laid down on a fine screen from a water suspension,you need a paper to write on,,0,2,0,2013-10-20 21:59:46,0,NULL,pey-pu(r),
